sample_id,measurement_01,measurement_02,measurement_03,measurement_04,measurement_05,measurement_06,class_label
train-alpha-001,1.1683,2.762,1.6755,3.5544,2.4719,0.7706,ALPHA
train-alpha-002,1.2731,2.7412,1.6523,3.4255,2.5511,1.356,ALPHA
train-alpha-003,1.3445,2.8243,1.5376,3.1768,2.5542,1.3884,ALPHA
train-alpha-004,1.2092,2.7766,1.817,3.0802,2.4313,1.2079,ALPHA
train-alpha-005,1.3921,2.7471,1.7829,3.4546,2.6721,0.8551,ALPHA
train-alpha-006,1.325,2.4668,1.1236,3.2665,2.2985,1.2927,ALPHA
train-alpha-007,1.3461,2.5318,1.8864,3.1795,2.481,1.0353,ALPHA
train-alpha-008,1.2252,2.9801,1.8405,3.477,2.643,1.2053,ALPHA
train-alpha-009,1.0621,2.6422,1.5966,3.5099,2.445,1.6139,ALPHA
train-alpha-010,1.0198,2.5582,1.8691,3.7128,2.6113,1.2839,ALPHA
train-alpha-011,1.5138,2.7793,1.3869,3.2829,2.7096,0.7824,ALPHA
train-alpha-012,1.2074,2.8557,1.6306,3.5592,2.6278,1.6107,ALPHA
train-alpha-013,1.3364,2.6659,1.5764,3.2171,2.7095,0.9753,ALPHA
train-alpha-014,1.1845,2.9648,1.5408,3.3354,2.0949,0.8619,ALPHA
train-alpha-015,1.0751,2.8915,1.9626,3.3959,2.5575,1.137,ALPHA
train-alpha-016,1.4386,2.9965,1.7602,3.1776,2.6987,1.1838,ALPHA
train-alpha-017,1.4699,2.7934,2.1297,3.321,2.8505,1.1253,ALPHA
train-alpha-018,1.0864,2.5517,1.6668,3.7131,2.6796,1.2516,ALPHA
train-alpha-019,0.6773,2.9564,1.8223,3.279,2.362,1.0995,ALPHA
train-alpha-020,1.5795,2.5679,1.6059,3.6996,2.4018,1.0199,ALPHA
train-alpha-021,1.2215,2.5269,1.7484,3.1339,2.6947,1.1007,ALPHA
train-alpha-022,1.7024,2.8618,2.0005,3.1133,2.4731,1.1711,ALPHA
train-alpha-023,1.5841,2.4302,1.9179,3.5301,2.8374,1.2567,ALPHA
train-alpha-024,1.2115,2.6852,1.4254,3.443,2.4578,1.5445,ALPHA
train-bravo-001,4.2656,3.9705,4.4548,3.413,4.1575,5.0813,BRAVO
train-bravo-002,4.7186,3.8903,4.5542,3.6007,4.2137,5.0082,BRAVO
train-bravo-003,4.2459,4.1493,4.8193,3.654,4.3803,5.034,BRAVO
train-bravo-004,4.463,4.3736,4.8536,3.4349,4.1246,5.2262,BRAVO
train-bravo-005,4.4261,4.0143,5.0631,3.3872,3.7202,4.9659,BRAVO
train-bravo-006,4.4505,3.7662,4.9916,3.6337,3.8811,5.014,BRAVO
train-bravo-007,4.3569,3.5737,4.8996,3.4901,3.936,5.015,BRAVO
train-bravo-008,4.5074,3.7729,4.8881,3.7233,3.9432,4.9838,BRAVO
train-bravo-009,4.4006,4.3985,4.3903,3.653,4.0326,4.878,BRAVO
train-bravo-010,4.8183,3.8981,5.293,3.4027,4.1771,4.792,BRAVO
train-bravo-011,4.248,3.9137,4.7378,3.5445,3.6369,5.3405,BRAVO
train-bravo-012,4.3633,4.2834,4.5784,3.5644,4.7963,4.7087,BRAVO
train-bravo-013,4.071,3.7798,4.9039,3.6525,4.3839,4.8435,BRAVO
train-bravo-014,4.0475,3.8043,5.0728,3.6024,3.6695,4.8923,BRAVO
train-bravo-015,4.7076,4.3678,4.9236,3.568,3.8272,4.7145,BRAVO
train-bravo-016,4.4103,4.0107,4.9276,3.3948,3.8466,4.7289,BRAVO
train-bravo-017,4.1455,4.0416,4.2913,3.4267,4.199,5.2348,BRAVO
train-bravo-018,4.4157,4.1203,4.7122,3.3362,3.9516,5.236,BRAVO
train-bravo-019,4.6187,4.0072,5.5327,3.4929,4.2365,4.9677,BRAVO
train-bravo-020,4.3512,4.4096,5.1315,3.1921,4.012,4.9942,BRAVO
train-bravo-021,4.5723,3.6033,4.3038,3.0806,4.0844,4.8773,BRAVO
train-bravo-022,4.4759,3.7307,4.5307,3.0549,4.1724,4.9814,BRAVO
train-bravo-023,4.6185,4.074,4.758,3.7968,4.07,4.7546,BRAVO
train-bravo-024,4.2855,3.7713,4.3235,3.5344,4.155,4.8203,BRAVO
train-charlie-001,7.343,6.2818,7.4777,6.7084,7.4883,6.2699,CHARLIE
